energy_densityc2,pressurec2
1.659253e+08,3.820553e+04
1.697914e+08,3.940991e+04
1.737472e+08,4.066065e+04
1.777951e+08,4.194556e+04
1.819374e+08,4.327183e+04
1.861766e+08,4.463867e+04
1.905142e+08,4.604928e+04
1.949528e+08,4.749843e+04
1.994952e+08,4.900308e+04
2.041431e+08,5.054428e+04
2.088992e+08,5.213831e+04
2.137666e+08,5.378356e+04
2.187469e+08,5.547635e+04
2.238433e+08,5.722868e+04
2.290589e+08,5.902600e+04
2.343961e+08,6.088673e+04
2.398570e+08,6.280390e+04
2.454452e+08,6.478258e+04
2.511642e+08,6.681509e+04
2.570163e+08,6.891074e+04
2.630043e+08,7.108370e+04
2.691324e+08,7.331551e+04
2.754026e+08,7.562269e+04
2.818196e+08,7.799223e+04
2.883861e+08,8.043564e+04
2.951049e+08,8.296508e+04
3.019809e+08,8.556279e+04
3.090172e+08,8.825192e+04
3.162173e+08,9.101434e+04
3.235846e+08,9.386244e+04
3.311242e+08,9.681027e+04
3.388395e+08,9.983843e+04
3.467345e+08,1.029608e+05
3.548135e+08,1.061925e+05
3.630808e+08,1.095118e+05
3.715407e+08,1.129481e+05
3.801977e+08,1.164718e+05
3.890564e+08,1.201044e+05
3.981215e+08,1.238704e+05
4.073978e+08,1.277388e+05
4.168903e+08,1.317269e+05
4.266040e+08,1.358257e+05
4.365440e+08,1.400816e+05
4.467156e+08,1.444524e+05
4.571242e+08,1.489452e+05
4.677753e+08,1.536089e+05
4.786756e+08,1.583920e+05
4.898289e+08,1.633234e+05
5.012420e+08,1.684151e+05
5.129211e+08,1.736685e+05
5.248735e+08,1.790802e+05
5.371032e+08,1.846436e+05
5.496178e+08,1.903998e+05
5.624253e+08,1.963304e+05
5.755300e+08,2.024261e+05
5.889413e+08,2.087294e+05
6.026638e+08,2.152072e+05
6.167073e+08,2.219123e+05
6.310768e+08,2.287973e+05
6.457825e+08,2.359166e+05
6.608308e+08,2.432350e+05
6.762284e+08,2.507782e+05
6.919862e+08,2.585848e+05
7.081112e+08,2.666017e+05
7.246104e+08,2.748780e+05
7.414956e+08,2.834112e+05
7.587744e+08,2.921939e+05
7.764557e+08,3.012687e+05
7.945473e+08,3.106170e+05
8.130623e+08,3.202400e+05
8.320087e+08,3.301423e+05
8.513966e+08,3.403508e+05
8.712363e+08,3.508903e+05
8.915383e+08,3.617530e+05
9.123134e+08,3.729520e+05
9.335726e+08,3.844960e+05
9.553272e+08,3.964061e+05
9.775887e+08,4.086725e+05
1.000371e+09,4.213167e+05
1.023682e+09,4.343100e+05
1.047537e+09,4.477454e+05
1.071947e+09,4.615943e+05
1.096928e+09,4.758256e+05
1.122490e+09,4.905389e+05
1.148646e+09,5.056582e+05
1.175415e+09,5.212915e+05
1.202806e+09,5.373563e+05
1.230837e+09,5.539649e+05
1.259518e+09,5.710315e+05
1.288871e+09,5.886240e+05
1.318905e+09,6.068117e+05
1.349642e+09,6.255010e+05
1.381095e+09,6.447659e+05
1.413278e+09,6.646184e+05
1.446214e+09,6.850820e+05
1.479918e+09,7.062409e+05
1.514403e+09,7.279797e+05
1.549696e+09,7.503878e+05
1.585812e+09,7.733937e+05
1.622769e+09,7.971926e+05
1.660587e+09,8.217238e+05
1.699286e+09,8.470098e+05
1.738888e+09,8.730702e+05
1.779412e+09,8.998416e+05
1.820881e+09,9.275233e+05
1.863316e+09,9.560525e+05
1.906740e+09,9.853380e+05
1.951181e+09,1.015641e+06
1.996653e+09,1.046775e+06
2.043184e+09,1.078962e+06
2.090800e+09,1.112027e+06
2.139530e+09,1.146081e+06
2.189392e+09,1.181312e+06
2.240415e+09,1.217508e+06
2.292632e+09,1.254808e+06
2.346067e+09,1.293222e+06
2.400741e+09,1.332835e+06
2.456695e+09,1.373662e+06
2.513954e+09,1.415864e+06
2.572541e+09,1.459055e+06
2.632499e+09,1.503742e+06
2.693855e+09,1.549783e+06
2.756634e+09,1.597200e+06
2.820883e+09,1.646103e+06
2.886629e+09,1.696496e+06
2.953908e+09,1.748225e+06
3.022755e+09,1.801744e+06
3.093206e+09,1.856714e+06
3.165300e+09,1.913496e+06
3.239073e+09,1.971867e+06
3.314574e+09,2.031974e+06
3.391827e+09,2.094153e+06
3.470880e+09,2.157978e+06
3.551776e+09,2.223787e+06
3.634565e+09,2.291825e+06
3.719276e+09,2.361654e+06
3.805970e+09,2.433664e+06
3.894675e+09,2.507815e+06
3.985457e+09,2.584270e+06
4.078346e+09,2.662740e+06
4.173410e+09,2.744172e+06
4.270689e+09,2.827485e+06
4.370226e+09,2.913609e+06
4.472093e+09,3.002410e+06
4.576334e+09,3.093550e+06
4.683005e+09,3.187820e+06
4.792162e+09,3.284575e+06
4.903864e+09,3.384265e+06
5.018169e+09,3.487379e+06
5.135139e+09,3.593209e+06
5.254835e+09,3.702235e+06
5.377322e+09,3.815020e+06
5.502663e+09,3.930776e+06
5.630939e+09,4.050025e+06
5.762192e+09,4.173002e+06
5.896504e+09,4.299582e+06
6.033960e+09,4.430001e+06
6.174608e+09,4.563936e+06
6.318547e+09,4.702477e+06
6.465842e+09,4.845096e+06
6.616556e+09,4.991798e+06
6.770798e+09,5.142921e+06
6.928635e+09,5.298362e+06
7.090137e+09,5.459150e+06
7.255418e+09,5.624667e+06
7.424553e+09,5.794645e+06
7.597631e+09,5.969758e+06
7.774743e+09,6.150136e+06
7.955984e+09,6.335965e+06
8.141468e+09,6.527408e+06
8.331258e+09,6.724606e+06
8.525472e+09,6.927762e+06
8.724213e+09,7.137024e+06
8.927608e+09,7.352607e+06
9.135724e+09,7.573969e+06
9.348712e+09,7.802751e+06
9.566644e+09,8.038408e+06
9.789679e+09,8.280381e+06
1.001789e+10,8.530426e+06
1.025145e+10,8.787172e+06
1.049044e+10,9.051606e+06
1.073502e+10,9.323793e+06
1.098529e+10,9.604376e+06
1.124140e+10,9.893402e+06
1.150348e+10,1.019108e+07
1.177167e+10,1.049772e+07
1.204611e+10,1.081329e+07
1.232695e+10,1.113865e+07
1.261437e+10,1.147375e+07
1.290845e+10,1.181773e+07
1.320940e+10,1.217235e+07
1.351739e+10,1.253783e+07
1.383253e+10,1.291496e+07
1.415505e+10,1.330175e+07
1.448509e+10,1.370047e+07
1.482279e+10,1.411078e+07
1.516840e+10,1.453363e+07
1.552206e+10,1.496889e+07
1.588398e+10,1.541745e+07
1.625433e+10,1.587904e+07
1.663331e+10,1.635488e+07
1.702113e+10,1.684284e+07
1.741800e+10,1.734748e+07
1.782412e+10,1.786497e+07
1.823975e+10,1.840016e+07
1.866502e+10,1.894905e+07
1.910026e+10,1.951423e+07
1.954560e+10,2.009874e+07
2.000137e+10,2.069821e+07
2.046772e+10,2.131556e+07
2.094499e+10,2.195162e+07
2.143339e+10,2.260625e+07
2.193318e+10,2.327806e+07
2.244463e+10,2.397215e+07
2.296800e+10,2.468444e+07
2.350357e+10,2.542080e+07
2.405163e+10,2.617866e+07
2.461247e+10,2.695639e+07
2.518645e+10,2.775711e+07
2.577375e+10,2.858161e+07
2.637475e+10,2.943048e+07
2.698982e+10,3.030455e+07
2.761924e+10,3.120459e+07
2.826327e+10,3.213121e+07
2.892238e+10,3.308535e+07
2.959687e+10,3.406424e+07
3.028708e+10,3.507131e+07
3.099339e+10,3.611260e+07
3.171617e+10,3.718072e+07
3.245581e+10,3.828447e+07
3.321269e+10,3.941701e+07
3.398723e+10,4.058198e+07
3.477991e+10,4.178192e+07
3.559099e+10,4.301774e+07
3.642107e+10,4.428970e+07
3.727043e+10,4.559368e+07
3.813968e+10,4.694162e+07
3.902920e+10,4.832345e+07
3.993938e+10,4.975208e+07
4.087088e+10,5.121621e+07
4.182410e+10,5.272481e+07
4.279955e+10,5.427641e+07
4.379775e+10,5.587465e+07
4.481933e+10,5.751871e+07
4.586464e+10,5.921113e+07
4.693434e+10,6.095441e+07
4.802907e+10,6.274077e+07
4.914925e+10,6.458628e+07
5.029566e+10,6.648402e+07
5.146879e+10,6.843574e+07
5.266872e+10,7.013294e+07
5.389722e+10,7.218480e+07
5.515438e+10,7.429667e+07
5.644086e+10,7.647001e+07
5.775734e+10,7.870656e+07
5.910453e+10,8.100000e+07
6.048314e+10,8.336868e+07
6.189405e+10,8.579760e+07
6.333772e+10,8.830619e+07
6.481522e+10,9.087775e+07
6.632704e+10,9.352462e+07
6.787426e+10,9.625829e+07
6.945743e+10,9.904837e+07
7.107767e+10,1.019319e+08
7.273571e+10,1.048993e+08
7.443245e+10,1.079507e+08
7.616875e+10,1.110802e+08
7.794555e+10,1.143130e+08
7.976398e+10,1.176243e+08
8.162466e+10,1.210332e+08
8.352873e+10,1.245381e+08
8.547742e+10,1.281445e+08
8.747136e+10,1.318571e+08
8.951203e+10,1.356743e+08
9.160030e+10,1.396043e+08
9.373729e+10,1.436288e+08
9.592392e+10,1.477854e+08
9.816200e+10,1.520450e+08
1.004520e+11,1.564266e+08
1.027955e+11,1.609339e+08
1.051937e+11,1.655703e+08
