energy_densityc2,pressurec2
1.659220e+08,3.842158e+04
1.697876e+08,3.963643e+04
1.737434e+08,4.089059e+04
1.777912e+08,4.218277e+04
1.819338e+08,4.352054e+04
1.861725e+08,4.489090e+04
1.905100e+08,4.631376e+04
1.949485e+08,4.777144e+04
1.994908e+08,4.928474e+04
2.041386e+08,5.083480e+04
2.088951e+08,5.244421e+04
2.137619e+08,5.409270e+04
2.187421e+08,5.579913e+04
2.238389e+08,5.755762e+04
2.290539e+08,5.937231e+04
2.343909e+08,6.124234e+04
2.398517e+08,6.316488e+04
2.454404e+08,6.515492e+04
2.511586e+08,6.720532e+04
2.570107e+08,6.932145e+04
2.629991e+08,7.149541e+04
2.691265e+08,7.374566e+04
2.753972e+08,7.606439e+04
2.818134e+08,7.844808e+04
2.883797e+08,8.091537e+04
2.950991e+08,8.344964e+04
3.019743e+08,8.607310e+04
3.090104e+08,8.876774e+04
3.162104e+08,9.154633e+04
3.235782e+08,9.442225e+04
3.311177e+08,9.737656e+04
3.388328e+08,1.004343e+05
3.467277e+08,1.035749e+05
3.548058e+08,1.068137e+05
3.630728e+08,1.101654e+05
3.715325e+08,1.136083e+05
3.801893e+08,1.171583e+05
3.890478e+08,1.208329e+05
3.981128e+08,1.246070e+05
4.073889e+08,1.284984e+05
4.168812e+08,1.325136e+05
4.265956e+08,1.366501e+05
4.365354e+08,1.409146e+05
4.467067e+08,1.453293e+05
4.571151e+08,1.498560e+05
4.677660e+08,1.545236e+05
4.786662e+08,1.593612e+05
4.898192e+08,1.643149e+05
5.012321e+08,1.694382e+05
5.129110e+08,1.747197e+05
5.248631e+08,1.801688e+05
5.370926e+08,1.857823e+05
5.496070e+08,1.915531e+05
5.624142e+08,1.975430e+05
5.755186e+08,2.036764e+05
5.889296e+08,2.100186e+05
6.026518e+08,2.165373e+05
6.166951e+08,2.232780e+05
6.310643e+08,2.302327e+05
6.457697e+08,2.373758e+05
6.608178e+08,2.447394e+05
6.762150e+08,2.523525e+05
6.919725e+08,2.602093e+05
7.080972e+08,2.682766e+05
7.245977e+08,2.765927e+05
7.414810e+08,2.851667e+05
7.587594e+08,2.940321e+05
7.764404e+08,3.031427e+05
7.945334e+08,3.125725e+05
8.130480e+08,3.222548e+05
8.319941e+08,3.322368e+05
8.513816e+08,3.425265e+05
8.712210e+08,3.531335e+05
8.915226e+08,3.640673e+05
9.122973e+08,3.753395e+05
9.335562e+08,3.869574e+05
9.553104e+08,3.988965e+05
9.775715e+08,4.112905e+05
1.000351e+09,4.240176e+05
1.023664e+09,4.371363e+05
1.047518e+09,4.506177e+05
1.071928e+09,4.645554e+05
1.096907e+09,4.789244e+05
1.122470e+09,4.936878e+05
1.148626e+09,5.089534e+05
1.175395e+09,5.246909e+05
1.202784e+09,5.408605e+05
1.230815e+09,5.575796e+05
1.259496e+09,5.747603e+05
1.288848e+09,5.924677e+05
1.318882e+09,6.107768e+05
1.349618e+09,6.295883e+05
1.381071e+09,6.490418e+05
1.413253e+09,6.690287e+05
1.446189e+09,6.896313e+05
1.479892e+09,7.108651e+05
1.514380e+09,7.328170e+05
1.549669e+09,7.553773e+05
1.585784e+09,7.786286e+05
1.622740e+09,8.025920e+05
1.660558e+09,8.272930e+05
1.699257e+09,8.526493e+05
1.738857e+09,8.788872e+05
1.779381e+09,9.059283e+05
1.820853e+09,9.337973e+05
1.863288e+09,9.625237e+05
1.906711e+09,9.921295e+05
1.951147e+09,1.022547e+06
1.996618e+09,1.053869e+06
2.043153e+09,1.086280e+06
2.090768e+09,1.119682e+06
2.139493e+09,1.154000e+06
2.189358e+09,1.189480e+06
2.240385e+09,1.225985e+06
2.292597e+09,1.263462e+06
2.346025e+09,1.302295e+06
2.400704e+09,1.342192e+06
2.456658e+09,1.383379e+06
2.513909e+09,1.425655e+06
2.572501e+09,1.469324e+06
2.632458e+09,1.514465e+06
2.693813e+09,1.560665e+06
2.756598e+09,1.608463e+06
2.820846e+09,1.657711e+06
2.886591e+09,1.708550e+06
2.953869e+09,1.760738e+06
3.022715e+09,1.814640e+06
3.093166e+09,1.869971e+06
3.165258e+09,1.927218e+06
3.239031e+09,1.986209e+06
3.314523e+09,2.046753e+06
3.391775e+09,2.109393e+06
3.470834e+09,2.173692e+06
3.551729e+09,2.240000e+06
3.634517e+09,2.308544e+06
3.719227e+09,2.378893e+06
3.805911e+09,2.451439e+06
3.894624e+09,2.526143e+06
3.985405e+09,2.603419e+06
4.078293e+09,2.682483e+06
4.173355e+09,2.764543e+06
4.270633e+09,2.848487e+06
4.370178e+09,2.935612e+06
4.472034e+09,3.024738e+06
4.576273e+09,3.116870e+06
4.682943e+09,3.211880e+06
4.792099e+09,3.309379e+06
4.903799e+09,3.410241e+06
5.018103e+09,3.513745e+06
5.135071e+09,3.620581e+06
5.254778e+09,3.730733e+06
5.377263e+09,3.843948e+06
5.502603e+09,3.960981e+06
5.630864e+09,4.081272e+06
5.762128e+09,4.205107e+06
5.896439e+09,4.332698e+06
6.033894e+09,4.464690e+06
6.174540e+09,4.599693e+06
6.318478e+09,4.739236e+06
6.465771e+09,4.883014e+06
6.616483e+09,5.031241e+06
6.770723e+09,5.183853e+06
6.928559e+09,5.340577e+06
7.090074e+09,5.502550e+06
7.255355e+09,5.668885e+06
7.424488e+09,5.840788e+06
7.597564e+09,6.018064e+06
7.774675e+09,6.199955e+06
7.955914e+09,6.387345e+06
8.141378e+09,6.580369e+06
8.331184e+09,6.779226e+06
8.525397e+09,6.984065e+06
8.724137e+09,7.195121e+06
8.927529e+09,7.412492e+06
9.135643e+09,7.636463e+06
9.348630e+09,7.867166e+06
9.566560e+09,8.104840e+06
9.789593e+09,8.349694e+06
1.001782e+10,8.601075e+06
1.025138e+10,8.860882e+06
1.049035e+10,9.127454e+06
1.073492e+10,9.402210e+06
1.098519e+10,9.686174e+06
1.124130e+10,9.977748e+06
1.150340e+10,1.027806e+07
1.177159e+10,1.058740e+07
1.204603e+10,1.090577e+07
1.232687e+10,1.123396e+07
1.261428e+10,1.157202e+07
1.290837e+10,1.192027e+07
1.320934e+10,1.227748e+07
1.351730e+10,1.264689e+07
1.383247e+10,1.302742e+07
1.415496e+10,1.341774e+07
1.448499e+10,1.382134e+07
1.482272e+10,1.423577e+07
1.516833e+10,1.466223e+07
1.552199e+10,1.510328e+07
1.588391e+10,1.555415e+07
1.625426e+10,1.602194e+07
1.663324e+10,1.650018e+07
1.702106e+10,1.699479e+07
1.741796e+10,1.750375e+07
1.782408e+10,1.802836e+07
1.823966e+10,1.856640e+07
1.866498e+10,1.912228e+07
1.910017e+10,1.969531e+07
1.954555e+10,2.028300e+07
2.000133e+10,2.088825e+07
2.046767e+10,2.151193e+07
2.094495e+10,2.215365e+07
2.143335e+10,2.281461e+07
2.193313e+10,2.349519e+07
2.244458e+10,2.419778e+07
2.296800e+10,2.491829e+07
2.350357e+10,2.566152e+07
2.405163e+10,2.642423e+07
2.461247e+10,2.721225e+07
2.518645e+10,2.802106e+07
2.577375e+10,2.885657e+07
2.637481e+10,2.971399e+07
2.698982e+10,3.059703e+07
2.761924e+10,3.150616e+07
2.826333e+10,3.244203e+07
2.892244e+10,3.340599e+07
2.959693e+10,3.439828e+07
3.028715e+10,3.542021e+07
3.099346e+10,3.647218e+07
3.171624e+10,3.755176e+07
3.245588e+10,3.866704e+07
3.321284e+10,3.981036e+07
3.398738e+10,4.098840e+07
3.477999e+10,4.220352e+07
3.559115e+10,4.345446e+07
3.642115e+10,4.473445e+07
3.727059e+10,4.606283e+07
3.813984e+10,4.741964e+07
3.902938e+10,4.882220e+07
3.993964e+10,5.026006e+07
4.087114e+10,5.174685e+07
4.182437e+10,5.327038e+07
4.279984e+10,5.484599e+07
4.379804e+10,5.646077e+07
4.481963e+10,5.812410e+07
4.586495e+10,5.983538e+07
4.693475e+10,6.159706e+07
