mass,radius,fmode
4.461145942908313957e+33,1.020701000000000000e+06,2.777738384203782516e+03
4.453456355745441352e+33,1.028301000000000000e+06,2.765449146858886252e+03
4.437407453796254137e+33,1.035701000000000000e+06,2.754713859773639342e+03
4.413624941309898885e+33,1.042701000000000000e+06,2.745280573089571590e+03
4.382300705410202385e+33,1.049301000000000000e+06,2.736931445653237461e+03
4.343434125441791080e+33,1.055601000000000000e+06,2.729509754028983480e+03
4.296986599978620803e+33,1.061401000000000000e+06,2.722855343533899486e+03
4.242981439463883215e+33,1.066901000000000000e+06,2.716804120138165217e+03
4.181498742149268697e+33,1.071801000000000000e+06,2.711151747141353553e+03
4.112717414033851391e+33,1.076401000000000000e+06,2.705729784066935281e+03
4.036912912332214117e+33,1.080401000000000000e+06,2.700283496403551908e+03
3.954432967820405395e+33,1.084001000000000000e+06,2.694682939138247093e+03
3.865691246467571649e+33,1.087101000000000000e+06,2.688817714601694661e+03
3.771116290930573735e+33,1.089701000000000000e+06,2.682436315520528296e+03
3.671062726657164701e+33,1.091801000000000000e+06,2.675498043200670963e+03
3.565675700587132297e+33,1.093401000000000000e+06,2.667846624837455238e+03
3.454769054939234092e+33,1.094401000000000000e+06,2.659425176426057988e+03
3.337839196533170794e+33,1.094901000000000000e+06,2.649946037612157397e+03
3.214507646255804618e+33,1.094801000000000000e+06,2.639180792812720938e+03
3.085237709844420545e+33,1.094301000000000000e+06,2.626580831321184178e+03
2.951676848439308815e+33,1.093501000000000000e+06,2.611254859833721639e+03
2.816190615366978894e+33,1.092601000000000000e+06,2.592744975122850519e+03
2.681146833793920816e+33,1.091901000000000000e+06,2.570893152868587549e+03
2.548567959344059858e+33,1.091501000000000000e+06,2.545235024773302030e+03
2.420091625861698119e+33,1.091601000000000000e+06,2.515796122160300456e+03
2.297052783493046374e+33,1.092301000000000000e+06,2.482844445350575825e+03
2.180473486791033095e+33,1.093701000000000000e+06,2.446542347891404916e+03
2.071028002834821356e+33,1.095801000000000000e+06,2.407409418261502196e+03
1.968980716634770085e+33,1.098701000000000000e+06,2.366190168940679087e+03
1.874176174199604589e+33,1.102401000000000000e+06,2.323218704745379000e+03
1.786204836332816643e+33,1.106901000000000000e+06,2.278895202971133131e+03
1.704761199053705759e+33,1.112201000000000000e+06,2.233627874808186789e+03
1.629956661112283484e+33,1.118301000000000000e+06,2.187706559187519815e+03
1.562332273748157614e+33,1.125301000000000000e+06,2.141830696189378159e+03
1.502577459412760398e+33,1.133201000000000000e+06,2.096987493417833775e+03
1.451186577447785248e+33,1.141701000000000000e+06,2.054012291188721974e+03
1.408274731209103083e+33,1.150601000000000000e+06,2.013879632108701117e+03
1.373497632390653368e+33,1.159701000000000000e+06,1.977573503500888592e+03
1.346067750239679827e+33,1.168501000000000000e+06,1.945205248642412471e+03
1.324721884376669754e+33,1.176701000000000000e+06,1.917553424113540132e+03
1.307698677187825371e+33,1.184101000000000000e+06,1.894022017014262019e+03
1.292622223694996801e+33,1.190201000000000000e+06,1.874393575703042870e+03
1.276263281197783106e+33,1.195001000000000000e+06,1.857472577020308336e+03
1.254140917955531503e+33,1.198101000000000000e+06,1.842165888996727062e+03
1.220451988323448548e+33,1.199001000000000000e+06,1.827046325090660275e+03
1.169940457394871745e+33,1.197001000000000000e+06,1.811107214666585151e+03
1.102078851811322873e+33,1.192201000000000000e+06,1.793427821410096158e+03
1.022512270186647765e+33,1.185601000000000000e+06,1.773153641388292954e+03
9.390255011693970295e+32,1.178701000000000000e+06,1.749982214457069858e+03
8.574619847106681082e+32,1.172901000000000000e+06,1.723156048237681489e+03
7.810043912901763031e+32,1.169101000000000000e+06,1.692865719179779717e+03
7.110432986751433749e+32,1.168001000000000000e+06,1.658306044104937200e+03
6.480265686523729238e+32,1.169901000000000000e+06,1.619793102043358658e+03
5.919395897089615158e+32,1.175301000000000000e+06,1.577257441051126534e+03
5.425441407915986634e+32,1.184201000000000000e+06,1.530795792827449077e+03
4.994893805199841603e+32,1.196701000000000000e+06,1.480753230316243616e+03
4.623484472969865595e+32,1.212601000000000000e+06,1.427565833785263067e+03
